;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
37;03_38_l-5_l-5_d-0.1;{'name': '03_38_l-5_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9772002316762248;0;0.9030734703714725;0;1.1315032717113087;0;0.9774550399402293;0;0;0;0;1/50;8;(6580, [1], 1);12.24794888496399;0;2004-10-01 00:00:00-04:00
38;03_39_l-5_l-5_d-0.2;{'name': '03_39_l-5_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9917579495028159;0;0.905384889081981;0;1.1383115785514437;0;0.9806541017279392;0;0;0;0;1/50;8;(6580, [1], 1);12.354076623916626;0;2004-10-01 00:00:00-04:00
39;03_40_l-5_l-5_l-5;{'name': '03_40_l-5_l-5_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9850535859271748;0;0.9042579183371958;0;1.1316920095464078;0;0.9777093751401436;0;0;0;0;1/50;8;(6580, [1], 1);16.652931451797485;0;2004-10-01 00:00:00-04:00
40;03_41_l-5_l-5_l-5_d-0.1;{'name': '03_41_l-5_l-5_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9938889748917887;0;0.9052114438231593;0;1.1313830295168772;0;0.9781634896630194;0;0;0;0;2/50;8;(6580, [1], 1);20.330222129821777;0;2004-10-01 00:00:00-04:00
41;03_42_l-5_l-5_l-5_d-0.2;{'name': '03_42_l-5_l-5_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9758786212052799;0;0.902165381877618;0;1.1311587949351567;0;0.9775113986759651;0;0;0;0;1/50;8;(6580, [1], 1);17.01625657081604;0;2004-10-01 00:00:00-04:00
42;03_43_l-5_l-5_l-10;{'name': '03_43_l-5_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.987753763477853;0;0.9044716598686838;0;1.1308094936354858;0;0.9775058216438061;0;0;0;0;2/50;8;(6580, [1], 1);18.20931315422058;0;2004-10-01 00:00:00-04:00
43;03_44_l-5_l-5_l-10_d-0.1;{'name': '03_44_l-5_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.992792054603165;0;0.9055355540434278;0;1.1315087579735896;0;0.9778300523757935;0;0;0;0;3/50;8;(6580, [1], 1);26.066320180892944;0;2004-10-01 00:00:00-04:00
44;03_45_l-5_l-5_l-10_d-0.2;{'name': '03_45_l-5_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9967452854959798;0;0.9055582057560106;0;1.131748394995201;0;0.9786169223669099;0;0;0;0;4/50;8;(6580, [1], 1);26.328593015670776;0;2004-10-01 00:00:00-04:00
45;03_46_l-5_l-10;{'name': '03_46_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9915924337338713;0;0.905029562785995;0;1.1300813893719417;0;0.9774471012557425;0;0;0;0;2/50;8;(6580, [1], 1);12.475179433822632;0;2004-10-01 00:00:00-04:00
46;03_47_l-5_l-10_d-0.1;{'name': '03_47_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9806037125571159;0;0.903455255739957;0;1.1305963340692404;0;0.9779089825545869;0;0;0;0;1/50;8;(6580, [1], 1);11.950700998306274;0;2004-10-01 00:00:00-04:00
47;03_48_l-5_l-10_d-0.2;{'name': '03_48_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.990780922032236;0;0.9047787358423859;0;1.1318977511510617;0;0.9781655093155256;0;0;0;0;3/50;8;(6580, [1], 1);12.286985874176025;0;2004-10-01 00:00:00-04:00
48;03_49_l-5_l-10_l-5;{'name': '03_49_l-5_l-10_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9810513923550449;0;0.9038865611998869;0;1.1323554399536877;0;0.9784615308773227;0;0;0;0;1/50;8;(6580, [1], 1);17.102318048477173;0;2004-10-01 00:00:00-04:00
49;03_50_l-5_l-10_l-5_d-0.1;{'name': '03_50_l-5_l-10_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9981906062110941;0;0.9057715555545407;0;1.132174147338402;0;0.9787536227121586;0;0;0;0;2/50;8;(6580, [1], 1);21.209968328475952;0;2004-10-01 00:00:00-04:00
50;03_51_l-5_l-10_l-5_d-0.2;{'name': '03_51_l-5_l-10_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9863309083466835;0;0.9048311071283549;0;1.130932045964206;0;0.9779338438699885;0;0;0;0;1/50;8;(6580, [1], 1);17.18740940093994;0;2004-10-01 00:00:00-04:00
51;03_52_l-5_l-10_l-10;{'name': '03_52_l-5_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9770277811265282;0;0.9033186936632116;0;1.1315640899829749;0;0.9775551642949988;0;0;0;0;1/50;8;(6580, [1], 1);19.064136505126953;0;2004-10-01 00:00:00-04:00
52;03_53_l-5_l-10_l-10_d-0.1;{'name': '03_53_l-5_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.994388208948189;0;0.9056534069196793;0;1.1309994251989737;0;0.978002510419706;0;0;0;0;2/50;8;(6580, [1], 1);20.448328495025635;0;2004-10-01 00:00:00-04:00
53;03_54_l-5_l-10_l-10_d-0.2;{'name': '03_54_l-5_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9922858627462097;0;0.9050611161080537;0;1.1307684591994054;0;0.977676791752257;0;0;0;0;2/50;8;(6580, [1], 1);20.319263696670532;0;2004-10-01 00:00:00-04:00
54;03_55_l-10;{'name': '03_55_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9901611356568554;0;0.9045251167200982;0;1.1334603492443154;0;0.9789621168520393;0;0;0;0;2/50;8;(6580, [1], 1);8.204350471496582;0;2004-10-01 00:00:00-04:00
55;03_56_l-10_d-0.1;{'name': '03_56_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9759986829975094;0;0.9024590391065574;0;1.1314840610252648;0;0.9768514702232872;0;0;0;0;1/50;8;(6580, [1], 1);7.188413858413696;0;2004-10-01 00:00:00-04:00
56;03_57_l-10_d-0.2;{'name': '03_57_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9959932699074862;0;0.9063188394695793;0;1.1318886532652668;0;0.9782384136101094;0;0;0;0;1/50;8;(6580, [1], 1);7.484708547592163;0;2004-10-01 00:00:00-04:00
57;03_58_l-10_l-5;{'name': '03_58_l-10_l-5', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9893172858877385;0;0.9056802532864922;0;1.1313138538744392;0;0.9782244841136584;0;0;0;0;1/50;8;(6580, [1], 1);11.443259716033936;0;2004-10-01 00:00:00-04:00
58;03_59_l-10_l-5_d-0.1;{'name': '03_59_l-10_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9906189345208345;0;0.9052940797751435;0;1.132193720740516;0;0.9786090581882291;0;0;0;0;1/50;8;(6580, [1], 1);14.062580347061157;0;2004-10-01 00:00:00-04:00
59;03_60_l-10_l-5_d-0.2;{'name': '03_60_l-10_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9899750505673125;0;0.9042941455511336;0;1.135949527890217;0;0.9802360465613807;0;0;0;0;2/50;8;(6580, [1], 1);15.18861198425293;0;2004-10-01 00:00:00-04:00
60;03_61_l-10_l-10;{'name': '03_61_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9876386838254595;0;0.9044444088153202;0;1.1301932405771278;0;0.9773025965181793;0;0;0;0;2/50;8;(6580, [1], 1);11.48229169845581;0;2004-10-01 00:00:00-04:00
61;03_62_l-10_l-10_d-0.1;{'name': '03_62_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9891043903708095;0;0.9049733556059718;0;1.1304240397563794;0;0.9774373188251402;0;0;0;0;2/50;8;(6580, [1], 1);13.527126789093018;0;2004-10-01 00:00:00-04:00
62;03_63_l-10_l-10_d-0.2;{'name': '03_63_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9857562702703984;0;0.9045711455464726;0;1.1305091949861223;0;0.9774761696050807;0;0;0;0;1/50;8;(6580, [1], 1);17.24145793914795;0;2004-10-01 00:00:00-04:00
63;03_64_l-10_l-5;{'name': '03_64_l-10_l-5', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9792380654069066;0;0.9034949707767521;0;1.1302510583546104;0;0.9770053745042987;0;0;0;0;1/50;8;(6580, [1], 1);11.736507415771484;0;2004-10-01 00:00:00-04:00
64;03_65_l-10_l-5_d-0.1;{'name': '03_65_l-10_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9857080207180832;0;0.9046366873754919;0;1.1303979663587198;0;0.9773605009768067;0;0;0;0;1/50;8;(6580, [1], 1);12.047788858413696;0;2004-10-01 00:00:00-04:00
65;03_66_l-10_l-5_d-0.2;{'name': '03_66_l-10_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.991245173733104;0;0.905116502727781;0;1.1310992388100158;0;0.9779519006246473;0;0;0;0;1/50;8;(6580, [1], 1);18.42045831680298;0;2004-10-01 00:00:00-04:00
66;03_67_l-10_l-5_l-5;{'name': '03_67_l-10_l-5_l-5', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9751563295722008;0;0.9027036584709915;0;1.130005889549488;0;0.977048272766718;0;0;0;0;1/50;8;(6580, [1], 1);15.886240720748901;0;2004-10-01 00:00:00-04:00
67;03_68_l-10_l-5_l-5_d-0.1;{'name': '03_68_l-10_l-5_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9900882183418448;0;0.9050285679862854;0;1.1340877460088672;0;0.9792320268546663;0;0;0;0;2/50;8;(6580, [1], 1);20.37026357650757;0;2004-10-01 00:00:00-04:00
68;03_69_l-10_l-5_l-5_d-0.2;{'name': '03_69_l-10_l-5_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9918758268595467;0;0.9060454746781874;0;1.1318980876992388;0;0.9783498788388764;0;0;0;0;1/50;8;(6580, [1], 1);19.8527991771698;0;2004-10-01 00:00:00-04:00
69;03_70_l-10_l-5_l-10;{'name': '03_70_l-10_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.9803804449035042;0;0.9037363821793473;0;1.1306826950209896;0;0.9772905749155254;0;0;0;0;1/50;8;(6580, [1], 1);17.844048738479614;0;2004-10-01 00:00:00-04:00
70;03_71_l-10_l-5_l-10_d-0.1;{'name': '03_71_l-10_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.9942914839935882;0;0.9058705064210486;0;1.131233452842003;0;0.9774352613745666;0;0;0;0;2/50;8;(6580, [1], 1);21.422206163406372;0;2004-10-01 00:00:00-04:00
71;03_72_l-10_l-5_l-10_d-0.2;{'name': '03_72_l-10_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.9772689332081554;0;0.9027307010892677;0;1.1310151813597213;0;0.9777157217627619;0;0;0;0;1/50;8;(6580, [1], 1);20.237189531326294;0;2004-10-01 00:00:00-04:00
